episode,outcome,score_margin,blue_strategic_score,red_strategic_score,blue_reward,red_reward,mean_tension,final_tension,final_stability,military_balance,coalition_strength,resource_leverage,clamps,commitments_blue,commitments_red,blue_unique_actions,red_unique_actions,blue_entropy_norm,red_entropy_norm
0,red,-0.12138075486074379,0.06830982256962811,0.1896905774303719,10.196406277957866,7.9749454723015765,0.763871692495681,0.82,0.45,0.48726622256962815,0.86588,0.43000000000000005,2,2,4,12,11,0.7236486330430001,0.700617539328934
1,draw,-0.09367319639514982,0.08588360180242507,0.1795567981975749,10.27240867729066,7.510754001233576,0.750441183449325,0.82,0.45,0.4974000018024251,0.87788,0.43000000000000005,1,2,1,11,11,0.7067679487408703,0.6529807713473709
2,draw,-0.10951811084937962,0.07531994457531019,0.1848380554246898,11.498222017342854,7.8342021439221154,0.7397842969888055,0.82,0.45,0.49211874457531024,0.8693599999999999,0.43000000000000005,0,0,1,10,10,0.6987211411471911,0.6468248012851285
3,draw,-0.10056584139750158,0.08080047930124926,0.18136632069875083,11.676654714193678,8.213695541814694,0.7514404296825181,0.82,0.45,0.4955904793012492,0.8726,0.43000000000000005,0,0,0,10,11,0.7011021930894574,0.7048282793032611
4,draw,-0.10672471251985716,0.07779544374007144,0.1845201562599286,10.743916625991233,5.579025709004871,0.7671098514430355,0.82,0.46454399689863796,0.4924366437400714,0.8728400000000001,0.43000000000000005,2,4,4,11,12,0.7114893988532123,0.700906815972869
5,draw,-0.10621805125181083,0.0759655743740946,0.18218362562590543,11.390524217071738,7.35341580990303,0.7405130131144122,0.82,0.45,0.49477317437409457,0.86612,0.43000000000000005,0,1,1,12,10,0.7029523768480744,0.6717273836044538
6,draw,-0.11635408970660532,0.07000475514669738,0.1863588448533027,11.04719913674497,7.878540654461791,0.7515471650686683,0.82,0.45,0.49059795514669735,0.86324,0.43000000000000005,2,2,3,12,13,0.7310966006652176,0.6910622612569016
7,red,-0.12200232509873515,0.07097503745063247,0.19297736254936762,10.120299605216356,8.205237939408525,0.7500434801711464,0.82,0.45,0.48397943745063243,0.87548,0.43000000000000005,3,2,5,14,11,0.7381558314636445,0.70000295516208
8,draw,-0.10336587122142371,0.07534566438928816,0.17871153561071187,10.176202135066731,7.71724329580223,0.720925744204074,0.82,0.45,0.4982452643892881,0.8595200000000001,0.43000000000000005,2,1,0,12,11,0.7196683633062018,0.6904456596819202
9,draw,-0.10847651084937959,0.07636154457531022,0.1848380554246898,10.166288916174217,7.661636839956314,0.7416954433816436,0.82,0.45,0.49211874457531024,0.8710399999999999,0.43000000000000005,1,0,1,11,11,0.6683459538391173,0.6747323941392032
10,draw,-0.10669211319312033,0.07706774340343983,0.18375985659656016,10.403736810370525,7.167924062895572,0.7315665228010635,0.82,0.45,0.49319694340343984,0.87044,0.43000000000000005,1,3,3,12,10,0.7138704507951639,0.69737033718081
11,draw,-0.10115885125181084,0.08102477437409458,0.18218362562590543,11.437193707124207,7.613781467391667,0.7462397759607725,0.82,0.45,0.49477317437409457,0.8742800000000001,0.43000000000000005,0,1,1,11,10,0.6864879564295799,0.6821040147933707
12,draw,-0.10907171084937961,0.0757663445753102,0.1848380554246898,10.539683388084875,8.453158901952653,0.7331572439681049,0.82,0.45,0.49211874457531024,0.87008,0.43000000000000005,3,0,1,11,12,0.6768875987377768,0.7003861313343059
13,draw,-0.11420531084937963,0.07063274457531019,0.1848380554246898,9.295584636370805,6.399679832860244,0.766024883392555,0.82,0.45,0.49211874457531024,0.8617999999999999,0.43000000000000005,1,0,1,11,12,0.6468084935453917,0.6973372494690855
14,draw,-0.10855091084937957,0.07628714457531025,0.1848380554246898,10.928133959808182,8.189458580834003,0.7172966098859467,0.82,0.45302639088651836,0.49211874457531024,0.87092,0.43000000000000005,3,0,1,11,12,0.6944992798713081,0.7000231132067705
15,draw,-0.0929568744998826,0.0856837627500587,0.1786406372499413,10.882465648992083,7.277218899683908,0.7567492859206228,0.82,0.45,0.49831616275005874,0.87608,0.43000000000000005,0,5,3,11,10,0.6960332600004345,0.6879908662566832
16,draw,-0.11299171813029885,0.0726159409348506,0.18560765906514945,9.5419887165573,6.243157475601809,0.7673739145985016,0.82,0.45,0.49134914093485055,0.8662400000000001,0.43000000000000005,0,1,2,12,10,0.7193843096303927,0.6603091207459865
17,draw,-0.1045068512518108,0.07767677437409462,0.18218362562590543,11.12592420837174,6.450204307389847,0.7357203563969982,0.82,0.45,0.49477317437409457,0.8688800000000001,0.43000000000000005,0,1,1,12,10,0.7399027412692855,0.6668733856021056
18,draw,-0.11337589134992226,0.07443265432503884,0.1878085456749611,10.256014538705553,5.605336227477175,0.7782732794994375,0.82,0.45,0.4891482543250389,0.8727199999999999,0.43000000000000005,1,4,5,12,10,0.7366435472115416,0.6894349696767506
19,draw,-0.1169329550475543,0.07157532247622292,0.18850827752377722,8.879550076587101,6.298460576263763,0.7716828597979616,0.82,0.45331036173924116,0.48844852247622284,0.8692400000000001,0.43000000000000005,0,5,6,11,11,0.7400548471300071,0.7331728408123795
20,draw,-0.11859309070718771,0.07178685464640613,0.19037994535359384,8.997784466739692,4.072487862907001,0.7957166453476702,0.82,0.45,0.4865768546464062,0.8725999999999999,0.43000000000000005,2,3,5,12,12,0.7245419192789511,0.6929539079071659
21,draw,-0.11553568970660533,0.07082315514669738,0.1863588448533027,10.56595418635496,6.469354125683148,0.7758228556468911,0.82,0.45,0.49059795514669735,0.86456,0.43000000000000005,2,2,3,12,12,0.7320329491128118,0.7189116477794892
22,draw,-0.09473547122142378,0.08397606438928809,0.17871153561071187,10.797327658421347,7.006348794260273,0.7267623420490719,0.82,0.45,0.4982452643892881,0.87344,0.43000000000000005,2,1,0,10,11,0.6804159113950798,0.6777927043693841
23,draw,-0.10914611084937953,0.07569194457531028,0.1848380554246898,10.4980880473478,7.6461188934261095,0.7426196099275884,0.82,0.45,0.49211874457531024,0.8699600000000001,0.43000000000000005,1,0,1,11,11,0.6888590338712979,0.7021581597606535
24,draw,-0.1046140729439774,0.07836716352801124,0.18298123647198863,10.993643289543112,7.752212233690481,0.7524531361634282,0.82,0.45,0.49397556352801136,0.8712799999999998,0.43000000000000005,0,2,2,11,10,0.7123932596643158,0.6670992329457983
25,draw,-0.11016451813029893,0.07544314093485052,0.18560765906514945,10.978722815185675,7.9674000851740985,0.7548530022552622,0.82,0.45,0.49134914093485055,0.8708,0.43000000000000005,0,1,2,11,11,0.7043031808147702,0.6706126105259075
26,draw,-0.10091067122142372,0.07780086438928815,0.17871153561071187,11.412989736205096,8.387955316031796,0.7186664650426827,0.82,0.45192632956720524,0.4982452643892881,0.86348,0.43000000000000005,0,1,0,11,9,0.6877267082331401,0.6626746375373983
27,draw,-0.10899731084937953,0.07584074457531029,0.1848380554246898,10.278008596184858,5.8204750012080835,0.7869339915172756,0.82,0.45,0.49211874457531024,0.8702000000000001,0.43000000000000005,0,0,1,10,10,0.6823655553332376,0.6438447003271776
28,draw,-0.11819293224937005,0.06889933387531497,0.18709226612468502,9.435153518861355,7.513263238907109,0.746059842161544,0.82,0.45600329039203674,0.489864533875315,0.86264,0.43000000000000005,1,3,4,11,11,0.6628955243044454,0.7107633625981418
29,draw,-0.10066679639514975,0.07889000180242514,0.1795567981975749,8.084334829615553,7.489176208389837,0.7254081721812984,0.82,0.45,0.4974000018024251,0.8666,0.43000000000000005,1,2,1,11,11,0.6980632857244707,0.6888046778447644
30,draw,-0.11568448970660539,0.07067435514669732,0.1863588448533027,10.543756270720147,7.094288194545816,0.7625862226130367,0.82,0.45,0.49059795514669735,0.86432,0.43000000000000005,0,2,3,11,10,0.6678103341239896,0.6178707677801938
31,draw,-0.10622024139750164,0.0751460793012492,0.18136632069875083,10.515211600452034,7.769058409945362,0.753990093097055,0.82,0.45,0.4955904793012492,0.86348,0.43000000000000005,1,0,0,11,11,0.7010539612575747,0.6876178736282849
32,draw,-0.10349807294397728,0.07948316352801135,0.18298123647198863,9.73874207986863,6.392450435011946,0.7690932069651957,0.82,0.4501031289453188,0.49397556352801136,0.87308,0.43000000000000005,0,2,2,11,10,0.7224656791324183,0.6582424640689916
33,draw,-0.10718173224937,0.07991053387531502,0.18709226612468502,10.680674286321192,7.297393977616913,0.7466024164466571,0.82,0.4507844653920491,0.489864533875315,0.8804000000000001,0.43000000000000005,1,3,4,11,11,0.705280183034555,0.6797955940636419
34,draw,-0.10473224139750165,0.07663407930124919,0.18136632069875083,11.559236705527189,8.294069027830755,0.7390661895197295,0.82,0.45787322290402466,0.4955904793012492,0.86588,0.43000000000000005,2,0,0,9,12,0.6469262788731116,0.7121823473968731
35,red,-0.12090337557608649,0.06735811221195673,0.18826148778804322,9.516503558456332,8.882682433906274,0.7288218565187137,0.82,0.45,0.4886953122119568,0.8620399999999999,0.43000000000000005,0,0,2,10,12,0.6529439678810782,0.7034250386989779
36,draw,-0.10563829134992225,0.08217025432503886,0.1878085456749611,10.97303005262653,7.09405097628258,0.7540482993059062,0.82,0.4600119629293177,0.4891482543250389,0.8852,0.43000000000000005,0,4,5,11,10,0.7155992079659597,0.7003861313349351
37,red,-0.1206620377467098,0.07097558112664507,0.19163761887335487,10.540127267039075,8.392106436718809,0.7318120533350815,0.82,0.45,0.4853191811266451,0.8733199999999999,0.43000000000000005,1,0,3,10,11,0.6990298032481929,0.6841808550145078
