action,blue_count,red_count,blue_pct,red_pct,blue_pct_formatted,red_pct_formatted
kinetic_increased_patrols,1858,2046,15.483333333333333,17.05,15.5%,17.1%
economic_selective_tariffs,1505,1485,12.541666666666666,12.375,12.5%,12.4%
economic_trade_monitoring,1349,1458,11.241666666666667,12.15,11.2%,12.2%
info_intelligence_sharing,719,1983,5.991666666666666,16.525,6.0%,16.5%
cyber_infrastructure_scanning,1139,1354,9.491666666666667,11.283333333333333,9.5%,11.3%
cyber_passive_monitoring,1072,1222,8.933333333333334,10.183333333333334,8.9%,10.2%
cyber_cyber_harassment,1823,11,15.191666666666666,0.09166666666666666,15.2%,0.1%
info_public_statements,1132,505,9.433333333333334,4.208333333333333,9.4%,4.2%
cyber_network_probing,501,676,4.175,5.633333333333334,4.2%,5.6%
kinetic_readiness_exercise,502,603,4.183333333333334,5.025,4.2%,5.0%
kinetic_airspace_restriction,291,420,2.425,3.5,2.4%,3.5%
info_narrative_dominance,26,96,0.21666666666666667,0.8,0.2%,0.8%
info_disinformation_campaign,30,39,0.25,0.325,0.2%,0.3%
cyber_critical_infrastructure_attack,14,20,0.11666666666666667,0.16666666666666666,0.1%,0.2%
economic_sectoral_sanctions,4,28,0.03333333333333333,0.23333333333333334,0.0%,0.2%
economic_financial_isolation,5,16,0.041666666666666664,0.13333333333333333,0.0%,0.1%
economic_targeted_sanctions,10,5,0.08333333333333333,0.041666666666666664,0.1%,0.0%
kinetic_full_mobilization,7,7,0.058333333333333334,0.058333333333333334,0.1%,0.1%
kinetic_air_strike_operations,5,7,0.041666666666666664,0.058333333333333334,0.0%,0.1%
kinetic_limited_deployment,3,4,0.025,0.03333333333333333,0.0%,0.0%
cyber_command_control_disruption,1,6,0.008333333333333333,0.05,0.0%,0.1%
economic_energy_weaponization,1,4,0.008333333333333333,0.03333333333333333,0.0%,0.0%
info_information_warfare,3,2,0.025,0.016666666666666666,0.0%,0.0%
info_existential_messaging,0,3,0.0,0.025,0.0%,0.0%
